waist,shoulder,elbow,wrist_angle,wrist_rotate,gripper,left_finger,right_finger
0.0122718,-1.89907,1.70272,0.630466,-0.0690291,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.632,-0.0690291,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.630466,-0.0690291,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.630466,-0.0690291,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.632,-0.0690291,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.632,-0.0690291,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.630466,-0.0690291,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.630466,-0.0690291,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.630466,-0.0690291,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.630466,-0.0690291,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.632,-0.0690291,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.632,-0.0690291,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.630466,-0.0690291,-0.467864,0.0141768,-0.0141768
0.0122718,-1.89907,1.70272,0.632,-0.0690291,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.630466,-0.0690291,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.632,-0.0690291,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.630466,-0.0690291,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.632,-0.0690291,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.632,-0.0690291,-0.467864,0.0141768,-0.0141768
0.0122718,-1.89907,1.70272,0.632,-0.0690291,-0.46633,0.0141901,-0.0141901
0.0138058,-1.89907,1.70272,0.632,-0.0690291,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.630466,-0.0690291,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.630466,-0.0690291,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.630466,-0.0690291,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.630466,-0.0690291,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.632,-0.0690291,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.630466,-0.0690291,-0.467864,0.0141768,-0.0141768
0.0122718,-1.89907,1.70272,0.632,-0.0690291,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.632,-0.0690291,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.632,-0.0690291,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.632,-0.0690291,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.630466,-0.0690291,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.632,-0.0690291,-0.467864,0.0141768,-0.0141768
0.0122718,-1.89907,1.70272,0.630466,-0.0690291,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.630466,-0.0690291,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.630466,-0.0690291,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.630466,-0.0690291,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89753,1.70272,0.630466,-0.0690291,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.630466,-0.0690291,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.630466,-0.0690291,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.632,-0.0690291,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.630466,-0.0690291,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.632,-0.0690291,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.632,-0.0690291,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.632,-0.0690291,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.630466,-0.0690291,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.632,-0.0690291,-0.467864,0.0141768,-0.0141768
0.0122718,-1.89907,1.70272,0.630466,-0.0690291,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.630466,-0.0690291,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.632,-0.0690291,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.630466,-0.0690291,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.630466,-0.0705631,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.632,-0.0705631,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.633534,-0.0720971,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.633534,-0.0736311,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.635068,-0.0736311,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.636602,-0.0736311,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70118,0.638136,-0.0736311,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.638136,-0.0736311,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.638136,-0.0736311,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.638136,-0.0736311,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.638136,-0.0736311,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.638136,-0.0736311,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70118,0.638136,-0.0736311,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70118,0.638136,-0.0720971,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.638136,-0.0736311,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70118,0.638136,-0.0736311,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.638136,-0.0720971,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.638136,-0.0720971,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.638136,-0.0720971,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.638136,-0.0720971,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.638136,-0.0720971,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.638136,-0.0720971,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70118,0.638136,-0.0720971,-0.467864,0.0141768,-0.0141768
0.0122718,-1.89907,1.70272,0.638136,-0.0720971,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.638136,-0.0720971,-0.46633,0.0141901,-0.0141901
0.0122718,-1.89907,1.70272,0.638136,-0.0720971,-0.46633,0.0141901,-0.0141901
0.0138058,-1.89907,1.70272,0.638136,-0.0720971,-0.46633,0.0141901,-0.0141901
0.0138058,-1.89907,1.70118,0.638136,-0.0705631,-0.46633,0.0141901,-0.0141901
0.0138058,-1.89907,1.70272,0.638136,-0.0705631,-0.46633,0.0141901,-0.0141901
0.0138058,-1.89907,1.70272,0.638136,-0.0690291,-0.46633,0.0141901,-0.0141901
0.0153398,-1.89907,1.70272,0.638136,-0.0690291,-0.46633,0.0141901,-0.0141901
0.0138058,-1.89907,1.70272,0.638136,-0.0690291,-0.46633,0.0141901,-0.0141901
0.0153398,-1.89907,1.70118,0.638136,-0.0690291,-0.46633,0.0141901,-0.0141901
0.0153398,-1.89907,1.70118,0.638136,-0.0690291,-0.46633,0.0141901,-0.0141901
0.0138058,-1.89753,1.70272,0.638136,-0.0674952,-0.46633,0.0141901,-0.0141901
0.0153398,-1.89907,1.70118,0.638136,-0.0674952,-0.46633,0.0141901,-0.0141901
0.0138058,-1.89907,1.70272,0.638136,-0.0674952,-0.46633,0.0141901,-0.0141901
0.0138058,-1.89753,1.70272,0.636602,-0.0674952,-0.46633,0.0141901,-0.0141901
0.0153398,-1.89907,1.70272,0.636602,-0.0659612,-0.46633,0.0141901,-0.0141901
0.0138058,-1.89907,1.70272,0.635068,-0.0659612,-0.467864,0.0141768,-0.0141768
0.0153398,-1.89907,1.70272,0.632,-0.0659612,-0.46633,0.0141901,-0.0141901
0.0138058,-1.89907,1.70272,0.630466,-0.0659612,-0.46633,0.0141901,-0.0141901
0.0153398,-1.89907,1.70272,0.628932,-0.0659612,-0.46633,0.0141901,-0.0141901
0.0138058,-1.89907,1.70272,0.625864,-0.0659612,-0.46633,0.0141901,-0.0141901
0.0153398,-1.89907,1.70272,0.621262,-0.0659612,-0.46633,0.0141901,-0.0141901
0.0153398,-1.89753,1.70272,0.61666,-0.0644272,-0.46633,0.0141901,-0.0141901
0.0153398,-1.89907,1.70272,0.612058,-0.0644272,-0.46633,0.0141901,-0.0141901
0.0153398,-1.89753,1.70425,0.605922,-0.0659612,-0.46633,0.0141901,-0.0141901
0.0153398,-1.89907,1.70425,0.601321,-0.0644272,-0.46633,0.0141901,-0.0141901
0.0153398,-1.89753,1.70272,0.593651,-0.0644272,-0.467864,0.0141768,-0.0141768
